C_CODE,COUNTY,TOTAL_REG.,NUMBER_VOTING,PERCENT_TURNOUT,DEM_REG.,NUMBER_VOTING,PERCENT_TURNOUT,REP_REG.,NUMBER_VOTING,PERCENT_TURNOUT,OTHER_REG.,NUMBER_VOTING,PERCENT_TURNOUT,
1,ADAIR,"12,584","7,548",59.9,"3,862","2,310",59.8,"8,208","5,015",61, 514 ,223,43.3,
2,ALLEN,"12,439","7,502",60.3,"4,621","2,769",59.9,"7,153","4,465",62.4, 665 ,268,40.3,
3,ANDERSON,"15,507","10,785",69.5,"10,201","7,249",71,"4,541","3,168",69.7, 765 ,368,48.1,
4,BALLARD,"5,999","4,101",68.3,"4,982","3,494",70.1,840,535,63.6, 177 ,72,40.6,
5,BARREN,"27,232","17,342",63.6,"16,543","10,519",63.5,"9,210","6,185",67.1," 1,479 ",638,43.1,
6,BATH,"8,697","4,790",55,"7,490","4,166",55.6,963,539,55.9, 244 ,85,34.8,
7,BELL,"20,576","9,973",48.4,"10,119","4,594",45.3,"9,800","5,154",52.5, 657 ,225,34.2,
8,BOONE,"78,084","51,996",66.5,"29,184","19,020",65.1,"39,678","27,891",70.2," 9,222 ","5,085",55.1,
9,BOURBON,"13,312","8,442",63.4,"9,637","6,321",65.5,"3,013","1,839",61, 662 ,282,42.5,
10,BOYD,"35,995","21,111",58.6,"21,894","12,680",57.9,"11,809","7,496",63.4," 2,292 ",935,40.7,
11,BOYLE,"19,189","12,646",65.9,"11,951","8,059",67.4,"6,076","4,003",65.8," 1,162 ",584,50.2,
12,BRACKEN,"6,016","3,530",58.6,"4,740","2,822",59.5,"1,058",626,59.1, 218 ,82,37.6,
13,BREATHITT,"12,116","5,097",42,"10,989","4,672",42.5,850,348,40.9, 277 ,77,27.7,
14,BRECKINRIDGE,"13,995","8,655",61.8,"7,425","4,641",62.5,"5,872","3,729",63.5, 698 ,285,40.8,
15,BULLITT,"49,357","31,716",64.2,"28,147","18,225",64.7,"17,521","11,795",67.3," 3,689 ","1,696",45.9,
16,BUTLER,"8,780","5,434",61.8,"1,972","1,218",61.7,"6,584","4,127",62.6, 224 ,89,39.7,
17,CALDWELL,"9,583","6,353",66.2,"7,281","4,939",67.8,"1,949","1,254",64.3, 353 ,160,45.3,
